id,song,artist,genre,language
1,Romantic Song 1,Taylor Swift,Romantic,English
2,HipHop Song 2,Thaman S,HipHop,Telugu
3,Romantic Song 3,Yuvan Shankar Raja,Romantic,Tamil
4,EDM Song 4,Shreya Ghoshal,EDM,Hindi
5,Rock Song 5,Dua Lipa,Rock,English
6,Rock Song 6,Sid Sriram,Rock,Telugu
7,Romantic Song 7,Devi Sri Prasad,Romantic,Telugu
8,HipHop Song 8,Thaman S,HipHop,Telugu
9,Fusion Song 9,Sid Sriram,Fusion,Telugu
10,Romantic Song 10,Taylor Swift,Romantic,English
11,HipHop Song 11,Neha Kakkar,HipHop,Hindi
12,Fusion Song 12,Sid Sriram,Fusion,Tamil
13,Fusion Song 13,Sid Sriram,Fusion,Tamil
14,EDM Song 14,Taylor Swift,EDM,English
15,EDM Song 15,Yuvan Shankar Raja,EDM,Tamil
16,HipHop Song 16,Taylor Swift,HipHop,English
17,EDM Song 17,Dhanush,EDM,Tamil
18,EDM Song 18,Yuvan Shankar Raja,EDM,Tamil
19,Romantic Song 19,The Weeknd,Romantic,English
20,HipHop Song 20,Devi Sri Prasad,HipHop,Telugu
21,Fusion Song 21,Neha Kakkar,Fusion,Hindi
22,Fusion Song 22,Yuvan Shankar Raja,Fusion,Tamil
23,HipHop Song 23,Sid Sriram,HipHop,Telugu
24,Romantic Song 24,Sid Sriram,Romantic,Telugu
25,HipHop Song 25,Yuvan Shankar Raja,HipHop,Tamil
26,EDM Song 26,Taylor Swift,EDM,English
27,Pop Song 27,Atif Aslam,Pop,Hindi
28,EDM Song 28,Dua Lipa,EDM,English
29,Romantic Song 29,The Weeknd,Romantic,English
30,Romantic Song 30,Ed Sheeran,Romantic,English
31,Pop Song 31,Neha Kakkar,Pop,Hindi
32,EDM Song 32,Sid Sriram,EDM,Tamil
33,Fusion Song 33,Thaman S,Fusion,Telugu
34,Fusion Song 34,Devi Sri Prasad,Fusion,Telugu
35,Rock Song 35,Dua Lipa,Rock,English
36,Rock Song 36,Sid Sriram,Rock,Telugu
37,Romantic Song 37,Sid Sriram,Romantic,Telugu
38,Rock Song 38,Devi Sri Prasad,Rock,Telugu
39,EDM Song 39,Arijit Singh,EDM,Hindi
40,Pop Song 40,Anirudh Ravichander,Pop,Tamil
41,Romantic Song 41,Sid Sriram,Romantic,Tamil
42,Fusion Song 42,Neha Kakkar,Fusion,Hindi
43,Pop Song 43,Dua Lipa,Pop,English
44,EDM Song 44,Atif Aslam,EDM,Hindi
45,Rock Song 45,Thaman S,Rock,Telugu
46,Fusion Song 46,Yuvan Shankar Raja,Fusion,Tamil
47,HipHop Song 47,Sid Sriram,HipHop,Tamil
48,Rock Song 48,The Weeknd,Rock,English
49,Pop Song 49,Arijit Singh,Pop,Hindi
50,Rock Song 50,Devi Sri Prasad,Rock,Telugu
51,Rock Song 51,Arijit Singh,Rock,Hindi
52,HipHop Song 52,Shreya Ghoshal,HipHop,Hindi
53,HipHop Song 53,Atif Aslam,HipHop,Hindi
54,EDM Song 54,Anirudh Ravichander,EDM,Tamil
55,Pop Song 55,Sid Sriram,Pop,Tamil
56,Rock Song 56,Arijit Singh,Rock,Hindi
57,EDM Song 57,Atif Aslam,EDM,Hindi
58,Fusion Song 58,Anirudh Ravichander,Fusion,Tamil
59,Pop Song 59,Taylor Swift,Pop,English
60,Rock Song 60,Anirudh Ravichander,Rock,Tamil
61,Pop Song 61,Dua Lipa,Pop,English
62,Pop Song 62,Dhanush,Pop,Tamil
63,Pop Song 63,Taylor Swift,Pop,English
64,EDM Song 64,Ed Sheeran,EDM,English
65,Romantic Song 65,Taylor Swift,Romantic,English
66,HipHop Song 66,The Weeknd,HipHop,English
67,Romantic Song 67,The Weeknd,Romantic,English
68,Pop Song 68,Arijit Singh,Pop,Hindi
69,EDM Song 69,Sid Sriram,EDM,Telugu
70,EDM Song 70,Sid Sriram,EDM,Telugu
71,Pop Song 71,Devi Sri Prasad,Pop,Telugu
72,Romantic Song 72,Thaman S,Romantic,Telugu
73,EDM Song 73,The Weeknd,EDM,English
74,HipHop Song 74,Anirudh Ravichander,HipHop,Telugu
75,Pop Song 75,Ed Sheeran,Pop,English
76,Rock Song 76,Sid Sriram,Rock,Telugu
77,Romantic Song 77,Dhanush,Romantic,Tamil
78,Pop Song 78,Devi Sri Prasad,Pop,Telugu
79,Romantic Song 79,Atif Aslam,Romantic,Hindi
80,HipHop Song 80,Sid Sriram,HipHop,Telugu
81,Fusion Song 81,Shreya Ghoshal,Fusion,Hindi
82,Pop Song 82,Anirudh Ravichander,Pop,Telugu
83,EDM Song 83,Dua Lipa,EDM,English
84,Romantic Song 84,Sid Sriram,Romantic,Tamil
85,EDM Song 85,Devi Sri Prasad,EDM,Telugu
86,Fusion Song 86,Anirudh Ravichander,Fusion,Telugu
87,EDM Song 87,Yuvan Shankar Raja,EDM,Tamil
88,Romantic Song 88,Dhanush,Romantic,Tamil
89,Pop Song 89,Yuvan Shankar Raja,Pop,Tamil
90,Fusion Song 90,Neha Kakkar,Fusion,Hindi
91,EDM Song 91,Shreya Ghoshal,EDM,Hindi
92,HipHop Song 92,Neha Kakkar,HipHop,Hindi
93,EDM Song 93,Sid Sriram,EDM,Tamil
94,Romantic Song 94,Dhanush,Romantic,Tamil
95,Fusion Song 95,Thaman S,Fusion,Telugu
96,Pop Song 96,Arijit Singh,Pop,Hindi
97,Romantic Song 97,Dhanush,Romantic,Tamil
98,HipHop Song 98,Yuvan Shankar Raja,HipHop,Tamil
99,Rock Song 99,Yuvan Shankar Raja,Rock,Tamil
100,Romantic Song 100,Sid Sriram,Romantic,Telugu
101,EDM Song 101,Ed Sheeran,EDM,English
102,Romantic Song 102,Anirudh Ravichander,Romantic,Telugu
103,Rock Song 103,Taylor Swift,Rock,English
104,EDM Song 104,Anirudh Ravichander,EDM,Tamil
105,Fusion Song 105,Shreya Ghoshal,Fusion,Hindi
106,Fusion Song 106,Dua Lipa,Fusion,English
107,Fusion Song 107,Atif Aslam,Fusion,Hindi
108,Fusion Song 108,Neha Kakkar,Fusion,Hindi
109,EDM Song 109,Dhanush,EDM,Tamil
110,HipHop Song 110,Anirudh Ravichander,HipHop,Telugu
111,Fusion Song 111,Anirudh Ravichander,Fusion,Tamil
112,Fusion Song 112,Yuvan Shankar Raja,Fusion,Tamil
113,Romantic Song 113,Anirudh Ravichander,Romantic,Telugu
